country,stable,stable_per2000,stable_per2020,increase increase,increase increase percent,increase decrease,increase decrease percent,decrease increase,decrease increase percent,decrease decrease,decrease decrease percent,total increase per,total increase,total decrease per,total decrease,forest edge 2000,forest edge 2020
Indonesia,2932939.62,0.547937376,0.585811831,377782.3233,0.075456499,1695902.141,0.338731671,1458102.547,0.2724055,961649.1245,0.179657124,0.414188169,2073684.465,0.452062624,2419751.672,5352691.291,5006624.084
Malaysia,292173.7614,0.423681105,0.383577601,63868.5001,0.083849165,405664.7854,0.532573234,282683.691,0.409919556,114750.2688,0.166399339,0.616422399,469533.2855,0.576318895,397433.9598,689607.7212,761707.0469
Chile,1523513.783,0.791066881,0.838994678,138571.9005,0.076311149,153794.4682,0.084694173,233907.4665,0.121453742,168476.3205,0.087479377,0.161005322,292366.3687,0.208933119,402383.787,1925897.57,1815880.151
Bolivia,1548777.429,0.719363089,0.7386853,158406.188,0.075551413,389483.8401,0.185763288,231877.8904,0.107700689,372328.9704,0.172936223,0.2613147,547890.0281,0.280636911,604206.8608,2152984.29,2096667.457
Peru,965807.5503,0.769824112,0.708248329,107564.701,0.078879607,290284.4071,0.212872064,165406.649,0.131842029,123367.8996,0.098333859,0.291751671,397849.1081,0.230175888,288774.5486,1254582.099,1363656.658
Argentina,2269203.133,0.733874893,0.814112721,262265.6328,0.094091968,255864.0858,0.091795311,280214.8754,0.090623294,542666.4249,0.175501813,0.185887279,518129.7186,0.266125107,822881.3003,3092084.433,2787332.852
United Kingdom,618430.3322,0.708776288,0.733466631,167482.9945,0.198637068,57247.5013,0.067896301,150923.6609,0.172971969,103178.4866,0.118251743,0.266533369,224730.4958,0.291223712,254102.1475,872532.4797,843160.828
Cyprus,19168.4992,0.88756443,0.881040758,2082.5287,0.095719161,505.6264,0.023240081,1440.7909,0.066713348,987.451,0.045722222,0.118959242,2588.1551,0.11243557,2428.2419,21596.7411,21756.6543
India,6485264.241,0.857993596,0.838976335,922530.9818,0.119344661,322177.5677,0.041679004,720835.1674,0.09536573,352540.0398,0.046640674,0.161023665,1244708.55,0.142006404,1073375.207,7558639.448,7729972.79
China,14977384.15,0.779084556,0.808239136,2258525.2,0.12187899,1294972.776,0.069881874,2904076.838,0.151062521,1342876.143,0.069852923,0.191760864,3553497.976,0.220915444,4246952.981,19224337.13,18530882.12
Israel,16732.5638,0.814736351,0.787387985,4127.4209,0.194224965,390.7381,0.01838705,2347.5227,0.114304783,1457.3104,0.070958866,0.212612015,4518.159,0.185263649,3804.8331,20537.3969,21250.7228
Lebanon,24099.3302,0.829888007,0.840929048,3518.2231,0.122765902,1040.4295,0.03630505,3149.9822,0.108473241,1789.9435,0.061638752,0.159070952,4558.6526,0.170111993,4939.9257,29039.2559,28657.9828
Ethiopia,3893878.011,0.838558714,0.915910378,173069.0864,0.040708972,184427.3881,0.04338065,194637.4884,0.041915787,555021.0186,0.119525499,0.084089622,357496.4745,0.161441286,749658.507,4643536.518,4251374.485
South Sudan,2003034.863,0.717065733,0.845547814,250075.1797,0.105565073,115809.6432,0.048887113,275853.9107,0.098752843,514488.1382,0.184181424,0.154452186,365884.8229,0.282934267,790342.0489,2793376.912,2368919.686
Somalia,48745.1973,0.8591001,0.949709181,2427.2519,0.047290473,153.9971,0.003000346,836.9464,0.014750596,7157.6906,0.126149304,0.050290819,2581.249,0.1408999,7994.637,56739.8343,51326.4463
Kenya,898520.1254,0.789270958,0.917101826,34193.9048,0.034901046,47024.6419,0.047997127,55239.2571,0.048522832,184658.4394,0.162206209,0.082898174,81218.5467,0.210729042,239897.6965,1138417.822,979738.6721
Malawi,384542.5138,0.703376137,0.864701436,13252.6966,0.029800673,46916.1059,0.105497891,25882.2047,0.047341775,136284.9204,0.249282088,0.135298564,60168.8025,0.296623863,162167.1251,546709.6389,444711.3163
United Republic of Tanzania,3319160.192,0.666658791,0.843492187,131916.0665,0.033523592,483945.5964,0.122984221,303661.2545,0.060990863,1355977.66,0.272350346,0.156507813,615861.6629,0.333341209,1659638.915,4978799.107,3935021.855
Syria,29294.3686,0.790654975,0.810436203,3991.3082,0.110420563,2860.7447,0.079143234,2635.3544,0.071128212,5121.0381,0.138216813,0.189563797,6852.0529,0.209345025,7756.3925,37050.7611,36146.4215
Somaliland,11851.1303,0.976422832,0.949529447,621.4542,0.049791796,8.4716,0.000678757,270.5764,0.022292977,15.5866,0.001284191,0.050470553,629.9258,0.023577168,286.163,12137.2933,12481.0561
France,2370317.707,0.818114919,0.839012861,226224.759,0.080075967,228584.3187,0.080911172,322966.6865,0.11147192,204007.4794,0.070413161,0.160987139,454809.0777,0.181885081,526974.1659,2897291.873,2825126.785
Suriname,57157.7675,0.753511932,0.727221204,2186.3933,0.027817594,19253.3377,0.244961202,10295.6741,0.135728067,8401.7175,0.110760001,0.272778796,21439.731,0.246488068,18697.3916,75855.1591,78597.4985
Guyana,121991.098,0.809073911,0.808315871,2899.9297,0.019215002,26029.0548,0.172469126,16043.9693,0.106407412,12743.6148,0.084518677,0.191684129,28928.9845,0.190926089,28787.5841,150778.6821,150920.0825
South Korea,294423.1652,0.745710441,0.806122395,24127.3327,0.066059962,46683.3263,0.127817642,61053.5167,0.154635403,39345.6904,0.099654156,0.193877605,70810.659,0.254289559,100399.2071,394822.3723,365233.8242
North Korea,290826.5654,0.615649054,0.706854554,64130.1083,0.155868358,56480.9606,0.137277089,130638.5883,0.276548063,50925.0227,0.107802883,0.293145446,120611.0689,0.384350946,181563.611,472390.1764,411437.6343
Morocco,246509.9525,0.836339919,0.825052265,46730.8565,0.15640504,5540.2052,0.018542695,30210.1402,0.102494629,18028.4262,0.061165451,0.174947735,52271.0617,0.163660081,48238.5664,294748.5189,298781.0142
Western Sahara,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Costa Rica,209933.1117,0.728715309,0.794258709,12792.9393,0.048400671,41587.2127,0.15734062,27500.7242,0.095459923,50652.7587,0.175824768,0.205741291,54380.152,0.271284691,78153.4829,288086.5946,264313.2637
Nicaragua,602816.166,0.708836056,0.684653221,42303.385,0.048046404,235349.7832,0.267300375,86638.4225,0.101875897,160976.4251,0.189288046,0.315346779,277653.1682,0.291163944,247614.8476,850431.0136,880469.3342
Republic of the Congo,339460.6195,0.631486811,0.699826846,33683.699,0.069441801,111919.4105,0.230731353,62198.341,0.115705415,135898.7742,0.252807774,0.300173154,145603.1095,0.368513189,198097.1152,537557.7347,485063.729
Democratic Republic of the Congo,4347978.853,0.63451889,0.6523881,343839.0113,0.051590978,1972894.219,0.296020923,928058.5825,0.135435503,1576365.107,0.230045608,0.3476119,2316733.23,0.36548111,2504423.69,6852402.542,6664712.083
Bhutan,60381.2209,0.741352585,0.834111624,7035.391,0.097187525,4973.2448,0.068700852,15710.7326,0.192894282,5355.42,0.065753133,0.165888376,12008.6358,0.258647415,21066.1526,81447.3735,72389.8567
Ukraine,1063488.812,0.704343155,0.749258828,206734.0204,0.145650136,149164.9308,0.105091036,375246.1265,0.248523574,71166.5985,0.047133271,0.250741172,355898.9512,0.295656845,446412.725,1509901.537,1419387.764
Belarus,361313.3669,0.526835098,0.58090316,141797.5517,0.22797564,118874.623,0.1911212,278802.2472,0.406524703,45703.0954,0.066640199,0.41909684,260672.1747,0.473164902,324505.3426,685818.7095,621985.5416
Namibia,71909.3277,0.779061308,0.853317359,12130.7144,0.14395002,230.2788,0.00273262,4617.777,0.050028717,15775.4227,0.170909976,0.146682641,12360.9932,0.220938692,20393.1997,92302.5274,84270.3209
South Africa,1500150.174,0.835238545,0.883454804,119524.2397,0.070389129,78375.2957,0.046156067,131567.8864,0.073253046,164355.8672,0.091508409,0.116545196,197899.5354,0.164761455,295923.7536,1796073.927,1698049.709
Netherlands,111967.3153,0.756943602,0.748761142,30615.2226,0.204733756,6954.2222,0.046505101,25306.2598,0.171080385,10646.7125,0.071976013,0.251238858,37569.4448,0.243056398,35952.9723,147920.2876,149536.7601
Oman,9050.1312,0.952214177,0.872884721,1315.8092,0.126909734,2.1311,0.000205544,435.4617,0.045817325,18.7092,0.001968498,0.127115279,1317.9403,0.047785823,454.1709,9504.3021,10368.0715
Uzbekistan,56175.5893,0.768935531,0.577705568,40092.1936,0.412305127,971.3513,0.009989304,13329.642,0.182457104,3551.0745,0.048607365,0.422294432,41063.5449,0.231064469,16880.7165,73056.3058,97239.1342
Kazakhstan,636355.5862,0.898064914,0.914114565,52447.3529,0.075339779,7341.2978,0.010545656,40568.9319,0.057253421,31660.7707,0.044681665,0.085885435,59788.6507,0.101935086,72229.7026,708585.2888,696144.2369
Tajikistan,60111.1908,0.852913768,0.74344535,19624.4966,0.242712556,1119.201,0.013842094,6460.0758,0.091661594,3906.1873,0.055424637,0.25655465,20743.6976,0.147086232,10366.2631,70477.4539,80854.8884
Lithuania,123796.8955,0.565492476,0.58285382,45462.2685,0.214042984,43138.6813,0.203103196,83625.3213,0.381992536,11496.5146,0.052514988,0.41714618,88600.9498,0.434507524,95121.8359,218918.7314,212397.8453
Brazil,18571817.81,0.731661716,0.799675984,1494854.688,0.064366311,3157506.018,0.135957705,2253114.219,0.088764462,4558134.208,0.179573822,0.200324016,4652360.706,0.268338284,6811248.427,25383066.24,23224178.52
Uruguay,205432.4217,0.711087795,0.6481302,95798.5163,0.30224008,15730.7183,0.04962972,51950.8502,0.179823687,31515.5435,0.109088518,0.3518698,111529.2346,0.288912205,83466.3937,288898.8154,316961.6563
Mongolia,874027.4903,0.891196237,0.922628308,32574.6223,0.034385954,40721.4003,0.042985738,37893.6294,0.038637984,68814.0478,0.07016578,0.077371692,73296.0226,0.108803763,106707.6772,980735.1675,947323.5129
Russia,35430783.72,0.675049517,0.755337552,5490711.206,0.117054717,5985723.734,0.127607731,12610382.87,0.240260925,4445033.043,0.084689558,0.244662448,11476434.94,0.324950483,17055415.91,52486199.63,46907218.66
Czechia,303459.4626,0.834466948,0.774833971,27016.5645,0.068982367,61168.4723,0.156183662,40824.5524,0.112261253,19372.6444,0.053271799,0.225166029,88185.0368,0.165533052,60197.1968,363656.6594,391644.4994
Germany,1241608.708,0.83834552,0.821064991,130300.7601,0.086166754,140283.502,0.092768254,160157.78,0.108139993,79256.1668,0.053514486,0.178935009,270584.2621,0.16165448,239413.9468,1481022.655,1512192.97
Estonia,105603.3325,0.555027925,0.500274663,30054.4023,0.142376719,75432.9725,0.357348618,62964.7578,0.33092894,21698.6113,0.114043136,0.499725337,105487.3748,0.444972075,84663.3691,190266.7016,211090.7073
Latvia,156044.9466,0.520601468,0.506114009,50078.5893,0.1624242,102196.218,0.331461792,110156.0502,0.367505662,33538.7391,0.111892869,0.493885991,152274.8073,0.479398532,143694.7893,299739.7359,308319.7539
Norway,987590.1624,0.675323841,0.742239883,145209.5386,0.109134654,197754.1871,0.148625463,259649.38,0.177550793,215155.3892,0.147125366,0.257760117,342963.7257,0.324676159,474804.7692,1462394.932,1330553.888
Sweden,1386788.556,0.610906595,0.626764246,163947.1255,0.074096513,661880.2481,0.29913924,595029.6144,0.262121802,288231.8953,0.126971603,0.373235754,825827.3736,0.389093405,883261.5097,2270050.065,2212615.929
Finland,1083575.732,0.5884241,0.622489751,157402.9499,0.090424435,499733.8839,0.287085814,536738.303,0.291469939,221173.6485,0.120105961,0.377510249,657136.8338,0.4115759,757911.9515,1841487.684,1740712.566
Vietnam,918364.3437,0.603682883,0.595467949,205279.2274,0.133103165,418612.9785,0.271428887,323432.945,0.212607266,279472.1882,0.183709851,0.404532051,623892.2059,0.396317117,602905.1332,1521269.477,1542256.55
Cambodia,313184.4779,0.482173141,0.498317628,35087.1409,0.055828248,280212.0234,0.445854123,48886.0108,0.075264015,287456.5205,0.442562844,0.501682372,315299.1643,0.517826859,336342.5313,649527.0092,628483.6422
Luxembourg,11534.3626,0.806680794,0.801050016,1545.5619,0.107337738,1319.1297,0.091612246,1837.7915,0.128529955,926.3921,0.064789251,0.198949984,2864.6916,0.193319206,2764.1836,14298.5462,14399.0542
United Arab Emirates,268.0409,0.768422263,0.361064125,474.3228,0.638935875,0,0,80.7789,0.231577737,0,0,0.638935875,474.3228,0.231577737,80.7789,348.8198,742.3637
